,idNews,nick,text
0,0,cadd****,똥팔륙운동권 중국사상 그대로 굴욕외교 자청해서 개무시당하고..정상인 앉히니깐 최초로 바로 2인자가 방한하네....
1,0,chai****,동북공정 일삼는 천년의 적 !!  # 멸공 !!!
2,0,ilma****,내정간섭말라 중국 이것들아 우리가 알아서 배치하고 잘 운영할 것이다 !!!!
3,1,kang****,???????들은 청계천도 청와대도 오지 마라.
4,1,desi****,솔직히 청와대 내부 풍경 안 궁금함. 안에서 어떤 일들을 하고 있는지가 관심사지
5,1,wyj9****,와 저렇게 볼게 많네
6,1,2010****,???????들은 청와대 관람 신청도 하지마라. 니깟놈들은 가서 즐길 자격도 없는 놈들이다.
7,1,cine****,"문씨 진돗개는 어디있나??개 장수한테 팔았나?양산 가져갔나??
말이없네 ..기자도"
8,1,rose****,좋은 기사 감사합니다
9,1,hjkj****,그리하여 이 쯤에서 우리 모두 사랑합시다!
10,1,hje9****,전국 곳곳의 산자락을 민둥으로 만들고 아름드리 금강송군락지도 다 파괴한 문재인이 동백 한그루를 심었다고? 저 나무는 뽑아다 양산에 갖다줘라
11,1,aplu****,집무실 이전한다는 핑계로 수천억 쓰지말고 그 돈 국민을 위해서 써라 !!!! 임기 시작도 전에 자영업자들한테 약속한 공약도 보란듯이 파기하고 장병 월급 200만원도 파기하고 나랏돈을 아주 지 맘대로 쓰려고 작정했나
12,1,avix****,남평 문가가 심은 나무는 베버려라 그냥 재수없다
13,1,janu****,???????문들 니들 필요없다고 청와대 이전 반대했지? 니들 입으로 필요없다고 했으니까 제발 위선자처럼 청와대 가족들 대려와서 사진찍고 나들이하러 오지마라. 반일운동 한다면서 포켓몬빵은 그렇게 사먹더라 ㅋㅋㅋㅋ 스벅 불매운동한다면서 커피는 스벅이지 하면서 스템프 잘도 모으더라 ㅎㅎㅎ 가스라이팅 선동에 물타기로 써먹히는 니들이 밉지않고 불쌍하다.
14,1,pshl****,뭉가가 태양광사업한답시고 멀쩡한 나무 베어내고 산사태를 선물했지
15,1,vkfm****,1번 찍은 좌파들은 청와대 방문이나 백악산 근처도 오지 말길 ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ?? ?? ??  양산에 가서 삶은소???????나 만나고 즐겨~~~~!!!! ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ?? ?? ??
16,1,jeon****,뭐야. 일제가 경복궁 훼손한건 아주 죽창들고 부수고 뜯어고치더니 청와대 만든다고 경복궁 훼손한데가 꽤 많네. 애초애 광화문에서 경복궁 바라볼때 뒤에 뜬금없는 퍼런 지붕 집이 있는거 자체가 되게 이상하긴 했는데 무슨 왕궁을 만들어놓고 살고들 있었네… 무슨 광화문 각도 틀어졌다고 수천억 쏟아부어서 고칠 돈 있으면 청와대도 이제 그냥 몇부분만 남기고 다 경복궁으로 복원하는게 낫겠다.
17,1,rina****,윤석열 대통령이 청와대를 개방하고 국민들에게 돌려준다 했더니  게거품 물고 반대하던 개딸들 ???????문들 니들은 절대로 청와대 근처에도 얼씬도 말아라
18,1,hone****,윤석열 대통령님 진심으로 축하드립니다.하루빨리 문재인과 김정숙 문준용 이재명 조국 윤미향 구속시켜 주세요.
19,1,daeg****,??????? 5년동안 탈원전이나 하고 국가빚만 잔득쌓아놓고 정말 정권 바껴서 다행이다 ??????? 비리정권 완벽하게 수사해서 구속시키자
